category,skill
Data Analyst,"Python, SQL, Excel, Power BI, Tableau, Data Visualization, Statistics, Pandas, Reporting, Business Intelligence"
Data Analyst,"Python, SQL, Excel, Power BI, Tableau, Data Visualization, Statistics, Pandas, Reporting, Business Intelligence"
Data Analyst,"Python, SQL, Excel, Power BI, Tableau, Data Visualization, Statistics, Pandas, Reporting, Business Intelligence"
Data Analyst,"Python, SQL, Excel, Power BI, Tableau, Data Visualization, Statistics, Pandas, Reporting, Business Intelligence"
Data Analyst,"Python, SQL, Excel, Power BI, Tableau, Data Visualization, Statistics, Pandas, Reporting, Business Intelligence"
Data Analyst,"Python, SQL, Excel, Power BI, Tableau, Data Visualization, Statistics, Pandas, Reporting, Business Intelligence"
Data Analyst,"Python, SQL, Excel, Power BI, Tableau, Data Visualization, Statistics, Pandas, Reporting, Business Intelligence"
Data Analyst,"Python, SQL, Excel, Power BI, Tableau, Data Visualization, Statistics, Pandas, Reporting, Business Intelligence"
Data Analyst,"Python, SQL, Excel, Power BI, Tableau, Data Visualization, Statistics, Pandas, Reporting, Business Intelligence"
Data Analyst,"Python, SQL, Excel, Power BI, Tableau, Data Visualization, Statistics, Pandas, Reporting, Business Intelligence"
Data Analyst,"SQL, Excel, Python, Data Cleaning, Data Modeling, Power BI, Dashboarding, Pandas, Data Analytics"
Data Analyst,"SQL, Excel, Python, Data Cleaning, Data Modeling, Power BI, Dashboarding, Pandas, Data Analytics"
Data Analyst,"SQL, Excel, Python, Data Cleaning, Data Modeling, Power BI, Dashboarding, Pandas, Data Analytics"
Data Analyst,"SQL, Excel, Python, Data Cleaning, Data Modeling, Power BI, Dashboarding, Pandas, Data Analytics"
Data Analyst,"SQL, Excel, Python, Data Cleaning, Data Modeling, Power BI, Dashboarding, Pandas, Data Analytics"
Data Analyst,"SQL, Excel, Python, Data Cleaning, Data Modeling, Power BI, Dashboarding, Pandas, Data Analytics"
Data Analyst,"SQL, Excel, Python, Data Cleaning, Data Modeling, Power BI, Dashboarding, Pandas, Data Analytics"
Data Analyst,"SQL, Excel, Python, Data Cleaning, Data Modeling, Power BI, Dashboarding, Pandas, Data Analytics"
Data Analyst,"SQL, Excel, Python, Data Cleaning, Data Modeling, Power BI, Dashboarding, Pandas, Data Analytics"
Data Analyst,"SQL, Excel, Python, Data Cleaning, Data Modeling, Power BI, Dashboarding, Pandas, Data Analytics"
Data Analyst,"Excel, Power BI, SQL, Data Visualization, Reporting, Data Analysis, Python, Business Analysis"
Data Analyst,"Excel, Power BI, SQL, Data Visualization, Reporting, Data Analysis, Python, Business Analysis"
Data Analyst,"Excel, Power BI, SQL, Data Visualization, Reporting, Data Analysis, Python, Business Analysis"
Data Analyst,"Excel, Power BI, SQL, Data Visualization, Reporting, Data Analysis, Python, Business Analysis"
Data Analyst,"Excel, Power BI, SQL, Data Visualization, Reporting, Data Analysis, Python, Business Analysis"
Data Analyst,"Excel, Power BI, SQL, Data Visualization, Reporting, Data Analysis, Python, Business Analysis"
Data Analyst,"Excel, Power BI, SQL, Data Visualization, Reporting, Data Analysis, Python, Business Analysis"
Data Analyst,"Excel, Power BI, SQL, Data Visualization, Reporting, Data Analysis, Python, Business Analysis"
Data Analyst,"Excel, Power BI, SQL, Data Visualization, Reporting, Data Analysis, Python, Business Analysis"
Data Analyst,"Excel, Power BI, SQL, Data Visualization, Reporting, Data Analysis, Python, Business Analysis"
